session,treat,exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,int_1,int_2,int_3,int_4,ben_1,ben_2,ben_3,ben_4,meas_rep,tsm_1,tsm_2,tsm_3,tsm_4,age,semester,sex,tch_1,tch_2,tch_3,tch_4,tch_5
S_tUZLU4DOjr5mgeOd4_Z29yCUq1Al83IhcOLyxWqBzIRqtc0Pj7w-CIFoBobIcR,CC,5,5,4,4,3,4,5,5,6,6,5,6,5,5,2,3,3,1,3,20,5,2,2,2,1,1,1
W6TQwdQOttWcwIpGePcrjVO0z806bIGyZGxaMp8sJOyBjkw7GhwRAcOs1g3ms99V,GB,6,5,5,6,5,6,4,4,5,4,5,4,4,4,1,1,1,1,1,25,11,1,2,-999,-999,-999,-999
W6TQwdQOttWcwIpGePcrjVO0z806bIGyZGxaMp8sJOyBjkw7GhwRAcOs1g3ms99V,CC,6,5,5,6,5,5,4,4,4,4,4,4,4,4,2,1,1,1,2,25,11,1,-999,-999,-999,3,-999
Bcxt2GKrsdO9ytMq6_UiGnMve1SE4t0f7y0_bFcMyLcR95FNrzKP1tc1LFt_nl0m,GB,6,6,6,6,6,6,6,6,5,5,5,4,6,4,1,1,3,1,4,21,7,2,2,1,1,1,1
Bcxt2GKrsdO9ytMq6_UiGnMve1SE4t0f7y0_bFcMyLcR95FNrzKP1tc1LFt_nl0m,CC,6,6,6,6,6,6,6,5,5,5,5,5,6,5,2,1,2,1,2,21,7,2,2,-999,-999,-999,-999
z5rSO8iPLCFYrjIhSHivyxJsYUG2tGgvaRnZpJJCyEVt7vIdeVPx1uGEHsOblU9V,GB,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,3,3,4,3,NA,NA,NA,2,-999,-999,2,-999
ktBVWkm2uyO1DoJlLaPBlsUbbvdUXWR2dRaClgyMpbYjRthhny5k7caLoTNO-X87,GB,4,4,4,6,5,4,3,2,4,2,4,4,4,4,1,1,2,2,3,20,3,2,3,4,2,3,-999
ktBVWkm2uyO1DoJlLaPBlsUbbvdUXWR2dRaClgyMpbYjRthhny5k7caLoTNO-X87,CC,2,4,4,4,3,4,3,4,3,4,4,4,2,4,2,3,3,1,2,20,3,2,3,1,2,1,3
aeHBrnbsSqece0kbJjPyElwvVlIT3FOBRXSDF00I8zAFvUPkMxnh9KwT9fTNJRsk,GB,6,5,3,1,4,5,2,3,6,6,7,2,6,3,1,1,2,3,3,26,11,1,-999,-999,-999,-999,-999
aeHBrnbsSqece0kbJjPyElwvVlIT3FOBRXSDF00I8zAFvUPkMxnh9KwT9fTNJRsk,CC,7,4,3,5,5,7,5,6,7,7,7,5,3,3,2,1,4,3,2,26,11,1,4,1,2,2,1
KZxGWyN6kpw5AmweO0ZGMD8GFoBQIuhBjDNcglPCpWdfbx0K-s_X56MH2u001JUH,GB,5,5,5,5,5,5,4,5,4,4,4,4,5,5,1,2,2,2,3,22,5,2,1,2,1,1,1
KZxGWyN6kpw5AmweO0ZGMD8GFoBQIuhBjDNcglPCpWdfbx0K-s_X56MH2u001JUH,CC,5,5,4,5,6,4,6,4,5,5,4,4,4,5,2,2,1,2,3,22,5,2,3,2,2,2,2
vgW84Ube7RxuTOB2SSVA2LOSNn6uMkSqNCw4Ljb213sGJXHudRXwClor7AXjWhDO,GB,2,6,2,2,2,4,2,2,2,2,2,1,1,3,1,2,3,4,3,26,11,2,1,1,1,1,1
vgW84Ube7RxuTOB2SSVA2LOSNn6uMkSqNCw4Ljb213sGJXHudRXwClor7AXjWhDO,CC,5,6,4,5,4,5,5,5,4,4,4,5,5,4,2,2,3,1,3,26,11,2,1,-999,-999,3,-999
qfjeRdYH4pRj9-Tmz5JEsPZtGhrxlTVdhgVhjo_7nc1RyVpqLRQ55b4T-FNRtBD-,GB,5,4,4,4,4,5,5,5,6,5,5,4,4,5,1,2,1,2,3,25,5,2,2,-999,1,2,1
qfjeRdYH4pRj9-Tmz5JEsPZtGhrxlTVdhgVhjo_7nc1RyVpqLRQ55b4T-FNRtBD-,CC,6,4,6,6,6,5,4,4,6,6,6,5,5,6,2,1,1,1,2,25,5,2,2,3,4,4,-999
ykRx_xkxV4HYtB-JQnABFlmVJLHtYAF6zXLT-m3GBCVjlhDFMlVWrKJ1QHmzMt2n,GB,3,5,4,5,4,4,4,4,4,4,5,4,4,3,1,2,3,3,3,26,8,2,1,1,1,1,1
ykRx_xkxV4HYtB-JQnABFlmVJLHtYAF6zXLT-m3GBCVjlhDFMlVWrKJ1QHmzMt2n,CC,6,5,6,6,6,6,5,6,4,4,4,4,6,4,2,1,1,2,2,26,8,2,3,-999,-999,3,-999
SKOtzZaSBGtKJezsCTYUQs1QrvnJ-e-Whnduh5I39xXnei4u5xQY770cAkcG1OfL,GB,4,6,5,3,2,3,5,5,4,3,6,5,6,4,1,3,2,3,3,20,3,2,4,3,2,2,3
SKOtzZaSBGtKJezsCTYUQs1QrvnJ-e-Whnduh5I39xXnei4u5xQY770cAkcG1OfL,CC,6,5,5,6,4,6,6,5,6,6,5,4,6,5,2,1,1,2,1,20,3,2,4,3,-999,4,4
KVICeTF1roHfmDFYw6dQ-uXA0LczwtSv5sn6YO3hFlKhBogE-TwTOW81QyTOH9uQ,GB,7,7,7,5,6,6,5,4,7,7,4,3,3,7,1,2,1,4,1,27,11,2,1,1,1,1,1
KVICeTF1roHfmDFYw6dQ-uXA0LczwtSv5sn6YO3hFlKhBogE-TwTOW81QyTOH9uQ,CC,7,7,6,6,6,6,6,6,7,6,5,5,6,6,2,2,1,2,2,27,11,2,1,-999,-999,1,-999
MroJxtQqjeJPsRlItN8lxhBcoWAZ-q_vijdLsLA-UkqdGEoXse7HixmO7dF8dfys,GB,3,3,3,3,3,3,2,4,4,5,5,3,3,4,1,2,3,3,3,21,5,2,1,1,1,1,2
