sex,age,education,session
f,35,app_13,HKjkwt3t0W6HV3p8dMFFbavzi1nUEP6d7vjPSImKKSdzQbY3XAThet9BbryjktCL
f,35,app_13,dtCnLJXbupabFWM0Yx-rTrIVaCJQ7Egqt62rlCOqcXQ7jD1AhYm81dAunAXKxlL5
f,35,app_13,z9OABY3qEymdzCP3RG53ffuWhElWBWLk1R9fs5u_W--HWdxi9B9rGbV3Nf6e9qV9
m,16,L12_1,81U9kH9GL4dcoSqTIbLy8X4rgDaQ_b8YEMNFeYT2k9MbX8CuVL0xssX3pQj1yHxN
f,50,app_13,G83szJjOvzCdey1RNWx4xDfOkxQBWAssCkTxdtC0NU-nnh0_BqkZykHAG1ucjZoD
f,50,app_13,mVqW-_d30GZyGDkuGxCGYKx9K46bRX1WTapoeOvwTexty0VkFujr6Br3xEHacj0W
f,50,app_13,7UpN579IRqKX8T8w9UXKK0MfZQzOYfMdt6Vl-CEyCHBP9TlaZ6Cn3ZLfFGHjb_tA
f,50,app_13,-HInCKwJDsLRCtTjMsr0rqH_amdsZ5kARlpZ2if0WGNaisUj4TXj-erMqwK3hWRM
f,50,app_13,bpevfj9aYvl0QyK_jdw0B46v8ubj38UUwwLlEncnTJ_O36r3vaRZKqWM6vQCc0-3
f,50,app_13,S-nezWyAHOK84g1WCG5NsDy0-NEo30jharRUdfBUe4EZJWUqaua7uP4DnxEAfxQo
f,50,app_13,ttm9QWk-5DMtP21qc0k5zoG_8e05hDhVOGuJ6RlTlOMG1ycu0yLUD2JxTTLHkrOl
f,50,app_13,AHhiEhADvFqB6RcbHjq7ytmB3eB36C_GHlakXD_LKxDJ_BOhLOx40egkoXBJjAIK
f,50,app_13,0rlEXbrbbfttQq23rLlkwKkqcJ6PF3M_fCVPlGSEnSpOskoknLGBJFKPmRBaQXLQ
f,50,app_11,O3RhIE9oNje4mWQ0nryaynVxfrEQU2JfN62QPeGIlE6mPjhIKcrNoPcEqL0mJ0a4
f,50,app_13,mZmIY4vVVh4z53qDgR9mGm9bs-ODlz3bDX30MPfWMek0gSxqmwh5UjS8ak-5SPFu
f,50,app_13,hvIFnOYYorQ6XzVIA4mpPtk1Uv-_Zj1TnTt5rK3lP0Xzz5GfUuc3FJ3kWNd30xt1
f,50,app_13,iPkx5VBBP6yEV-JVsuZI3Hp8oGhgLlCi0uqzI1KrpvzpHzxBVnm9E27mtnGdpCyU
f,50,app_13,JzfzVPD07oVmxsCukUh2Jr-I9358qFbPy9z-nNdDj7-KOjnwCU7ap5jelrqY8V5k
f,50,app_11,1TXojqwJzZN9FckSuCom3ow0M8iO9vL_zpSUvM5nWDzzCTM9wC_fH1gV2qeBOY9C
f,50,app_13,-IshUNvWqs82pp0KRTKx42zIH1XYJeHyPjGOLBLMnqLdBVvEl5HcAdTl9UWNCS2d
f,16,L12_3,Z55kO7Z_kWOJf2wisjOzxrfN2nJrVyz_-9AXQcZPUYs3tDuWZb4FkBj6LeQsd65k
f,16,L12_1,lAmwXPJ5ctJOPVK5opO2ejxhx9eYhlvNRudj6nfFR9VfO4YVN1HzUUyEvcDkZrFs
m,16,app_13,DtcwdFWth6A5-7og-yJ58PKyyM7JpDST-1DRIu0lEaIPkHY2KGYTGxdmPG2_kdd6
f,16,app_13,eXwS-f50sLw0qTilla_VRI5KFZVdyNwlldFNK6KguWq_qri7y7PhbLe6xk2aBH9r
f,16,L12_3,ORBISn1I717CwgV9mR8wpVAr5ltxTIiZZoftekY3LYepe9gm54CtQ4YK1QltA0eM
m,16,L12_1,2BHhbQGLKatwipgrCBtcsGhSCQB63vlF0_3pxg2Oy5AwfE7Vw7Q3iuLKO-3Vo3AI
m,35,L12_1,OlKu3BNGRl63efUUnWrNDy6ANRdG3V5vVSv7xwE2gFHTYu3hwTS3XmulW-KBL-3i
m,16,L12_3,sPPP0WR00u9yXxgIWbtMEhmF07jejUkpmnboygVduTI-reCPNkZGhjJnJ1PpUQqT
m,35,app_13,BgTE8WZiwvVLznws9-LTKMBHe8tNtFcnCGaaJN4NLWlnupck022LrcNciPMagFuE
f,16,L12_3,aVk21xRGTv1K9RwULmV5Eya9yDhslKSYvy4XioW5NceJ7b2KzI8jyhCqOvKNZkAm
m,35,app_13,mlGIJeMImQgrsaBmvnkpGBsDTNAevGb7Z6NYAKxV7XfwOqdSTjV7eWSzL1Hy0lBu
f,35,L12_1,kMEZ0PDa6TrFNGEZB6oOU_mACJ9P0gGpvc6AqYYzxd9LtanXSsgVNW6fq3mwJ4BC
f,50,L34_7,OBYDm7N7KtB-4N8iNXiTOlYJ6_dlMOnckyFX8i7OLOzVnKgEqku_ufpucy_RLnpJ
m,35,app_13,917XV_wbC4yOqyq5wnVr-S-3ntZksbO_vOD-UYem6wjkrksub3hbaGIEzhRbuaqA
m,16,L12_3,AYT5qSBKg8Xjw_F6fqva2pDw7KrmhT7tH4-B8ujsT-dMidJfY8yZxLiScNg9YKNp
m,16,L12_2,NZLm5WuDGK2ZWpyoXrcebN07IGhkrgt5Jn5c5Zc431b96W56FHM1WdMwqhGIumPL
f,16,L12_4,0GPEIyBNX2Ob4Teb0-l-khuLKoxtxBJxCwr5ZOZocjsRiXJDTWiGL7pMtf1Liegi
m,16,L12_4,Q5xbCArfSaTwztoHsijCOyXt_SmkIhwDvXG2nzaUTbZ_4rPTaZcqb4GYUT5ATQAu
f,16,L12_3,ILAR7x_TrYCurU4hW1S38S5tSMmwj5VBB10gInaFfwgep-aKW5PuhwQ4dPDI9vGu
m,16,app_5,FUm9hyLUGEwhblAc6fwjp548HcQwPspAicmkUtT7VmtENvbc98XzJ2_K5IFPeaO9
f,16,L12_1,FfMbdQw_zpzPRglRjWR5Ajv9N-7pOhZiSKFK802ZGnrcRJ-DTiy2s0ACWszYrhDm
m,16,app_11,WCXtU83FXSeCsszBE4B17YZvdtSNw1-RmNVgV6aSBm2uUi4mhGIjV8jSVAAzj0mN
m,16,L12_1,qUqw50jlhQBJFQ-EExfw3ZGRQLAZlaSsaDgNAMkUjpQI49z_phn3lHWneL0239L4
f,16,L12_2,5CEWvEd5LOtRrYpbI9ebFe6IxsArZfBauCkliB6nKgFk_cCALwKMk1zji67dbQUy
m,16,L12_4,Cv1JZ7aimpll3_DiyH8h_Q895FBkwvMYUGU4QpIBvU7eTWSNc5K6QCbFvNyc5Z8P
m,16,L12_3,DoV5eBdn2iIRrfAYQbYh6k8eLDiZctP3PUBMzRoV88ddGoUpYZUhl-2aodYrg3z7
f,50,L34_8,1S1uB2OykdnmD8Sv0X06BkER7x0x39CEKIk1o_H9RR6qTfbcamkuoFVa0TGuqU8z
f,50,L34_8,5Q11K4ustu4krSgx6gaDJkyoIoPL-hOxcbLd9dMRfZGNcFQSsV-pj4AJIC7d3x-_
f,35,L12_3,BCMgdqQaYgDYFutHbYcBKaKmP8bsO5xHmxIXTbZ3lJHL7XsXSFfr5gj44CB9RsR5
f,50,L34_7,V4hm1x_ozuwHZwRl3Mx-6KQYjvxXJiZ4XzKKH8q9BMfTyFJP4Xt-8UGHN-xE51BM
f,50,L34_10,9IbYBY2m0RYbQmqPuCkrPLHEXJRCkAednOU5Syr1rRxbDN3jLYu_AV7-zt-6zpzj
f,50,L34_8,GRqsEubla6mElWBhcePRy49Sib-xcDSJy79HFe7JVZW9mz3y2gQk4gWJ3DF2RS39
f,50,L34_8,x-oDKZI5N6lwyoG6_DsuVntp1Bay6fsPsMJL6XNaqTTMu4N3e46Y9XBKnrOU4yMO
f,35,L12_4,TyANE-Vk2Q44au8c6mUjDySpJwqstZX7RZbvlswpRnXnP0FSHvxXfCTBHSwqpY75
f,35,L12_4,ZWo80ZiJBstw0xTk8x34lEwqAOTv8Sc2ZSe4FGsn8f8onKuVPcYxkPawkgybMwHB
f,35,L12_4,qhX3rYE4AJyRUi6pFh_ZAMu-BGTEqJE5FLUlfBVjJAaY6SKxoiTZuyqrg1IsVd3n
f,35,L12_3,Ajc8R0uh9B4wEUYm-KalbsdF3Tq32s2iwmMEtMutfeHbaR7uZAWRlrDgA1FGrVP7
f,35,L12_1,6gajz98uYPPBqYhf6Y8amx3rvc9ZxcS1soQ1YJaku6pBzE-pRcSijtnnhnXjogXk
m,16,app_11,oU23pMWDK45DS6EyDnxsRwVwg9EkvpwGJAqhKXUklaDufsf3qUmQVVws1i-J20rh
