sex,age,education,session
m,50,L12_2,6Au2u1_kfGnMnfvK7f5aiKx1ZYMH1QHM--s3kT1lYODvsnM6KueF4DQvSDA7dsPO
m,50,app_13,ATICLi0955pY-2YktMwsVe5HzjuV3tJGyyoStS3JMxCGS6S7jLlx2co0-_LIV_ib
m,35,L34_8,NzTdFXAWL7s0dHZvH80yWNW1QsrUwMPNlERqO_h2U3f_spFDoj3St70uivKulE1G
f,16,L34_6,quAMO71YWNI0fatf5-RxyrUisvi_i_HHjmlpedVnWkgAB9G9INKLvXSIfewSADeb
f,50,L12_2,WY-rzeTzOLhhJfCLnNKfixXXU8MZ9wEYgOVQmILmKAiJkg779nsm6YDkcJVSu3iF
f,50,app_13,YpEl1VFtU5m2zi6knp-BxUyDkIvyD_d9fpoHG-b2E98wswij6ix8o6O4E0_P8e5y
f,35,L34_10,Nr_m6c9Mlso_U77i9PD7er86KBnlm1yOhsAHfZJTPHn_c9BP_7axAPQ4rq_uahDj
m,50,L34_10,uDKkFV8gt6LA2ndmQW3m857CfI5MX4dfBmSyiKPnLAfxQxOXXc_snG6Hove7Krzi
f,16,L34_8,VuV44g43hYEEDNZHJx9035K70_MKte7Z3sPi9sGXd-yv9FLey2wuDHUqL0Dmes2D
m,16,L34_8,cpuMXLzBX3gJLSPRiHxa78FPhzq5FeTSromp2w0OqfUITqNcb3NwzApw05zIceL5
m,16,L12_3,NfPn4IRXC-oC11ZA2pZFZmgnTaHR7ztans5GvqaDb2Yf1vMH4ugRmQgVSREy2F89
f,35,L12_4,OGGIe9jayYwjm2PN8yArCAyaHVATht7zSjtXlUnP8aOfaliCcT9Ifk3rneR8l1QR
m,50,L12_3,Q31yK_5xMgnd1kiVpfpzQ1-4Mz8JmTxGi6ecyau9CGFid5flnRuzqI4I9wfgamSP
m,35,L34_8,hvqKJRkhCUSvHf9RBXiVLuBVuYgal35oHTAo2XUqLR3mn5ZxIPL-YXfwiTgE-One
m,50,app_11,H1ZAZrGk2Gp97Ez1jqm-FrOhNsRTeRKYuQ285CqXzdppi8zCysJdEG1-RkGoQpZq
f,35,L34_8,VwP-q3X5NLfrc6J9aWT_vuuDZpSYgYPM5ZX2WWYw2h68dJoeVMYqY7wT05WL7403
f,16,L34_8,Xd9q3AQ5CaHxQ6_HdOuJlFFMghW9orLNq8O6OwTFxuwpkICDMCg7LAwoofKiunpH
m,35,L34_8,gTcna1o0y6ulxSaLo6gWxd-19NoVXH88CgYM_kWsYbMrNWBGD_vZG_vUjxz5a00I
m,35,L34_10,9f1WVy47sq4nyaYi85COsZKcCQKY2IT3Nd-yQn8TUgEbxhTFUGtK-X1FExo1YnkI
m,50,L34_8,H477s3k7UCikPDQ38eMmy0RA1ljbiMyugthUdnTnHwiC8S8CIrZS02sROV-QRtF2
f,16,L12_3,z4nQ0A9n7_0Mfjj7eXCunysq8eXk4n8B6df_Xh3exzFWhePJWOgFMG6WayJ02Tkp
m,50,L12_1,oI6xCvzyG51Wngm0wNuqGoqFTX5suAGi1qjXOdkh2uYAzg5UU0BkLCcj14KXQDyz
m,35,L34_8,lXSRvGTbJSgsAJx6xwbhYoIISbamwmu1LfdQWHiw_GpqYs6igi2HNU7573fWmOVp
m,35,L12_3,SmishPBPIdI11fI9yhY6rY_NHbAetttyCoclcwbME49fy-JtbtllgnS1YZszfUhM
m,35,L34_8,5Pf18pO2Og7WuN5oM-f396LTnqcQti6f5jsoYv-tnl3QaML02W0sOKx84zDcOgB-
m,35,L34_8,iNTz1BEFGcRf5-SZGrbTVZZorn5w5eDAwIbnoW11hn9HlJMupDCOTzyyuTBioJJx
m,16,L12_3,Numbt14bb1nHOJQ5XtqHG1ElMD6L0gtcQTrCKX5BBPQSusRWk72tecIY0JMwiZzN
f,16,L34_7,5Tge1zfhV7ciz8xv9GYP74y7-X96EBBYwmVHFWsL9UjuXq_04z27ZEUHscBKp-O5
f,50,L12_3,-gZbzQTYzOMqGMXs1URihFGFH5Np2xW3X7UtEvp1V5-ipvTQ-IHYNbD8zkmpScWZ
f,16,L34_6,uqWwg0bfyCncfZTVsE-GyNogqeHzxe5CCkWrdMIkib1Ju6j3SzZYkhsWNeYUcrnU
f,50,app_11,a5O-FD7F93zJBpoFfzW2EnfIUBaqZt-YxHxdA9ykLJdXtLS2X7yYdXvjKwTZWw2B
m,35,L34_7,kYpm3HoBKHwUlvvrgbYvoTzTWfzKJ1b9CX7RoK4R9oTnY8TVWva0bJbFhf7T3qaQ
