session,created,modified,ended,expired,treat,treat1,treat2,first_topic,abs1_tsm_1,abs1_tsm_2,abs1_tsm_3,abs1_tsm_4,abs1_tsc_1,abs1_tsc_2,abs1_tsc_3,abs1_tru_exp_1,abs1_tru_exp_2,abs1_tru_exp_3,abs1_tru_exp_4,abs1_tru_exp_5,abs1_tru_exp_6,abs1_tru_int_1,abs1_tru_int_2,abs1_tru_int_3,abs1_tru_int_4,abs1_tru_ben_1,abs1_tru_ben_2,abs1_tru_ben_3,abs1_tru_ben_4,abs1_tch_1,abs1_tch_2,abs1_tch_3,abs1_tch_4,abs1_tch_5,abs2_tsm_1,abs2_tsm_2,abs2_tsm_3,abs2_tsm_4,abs2_tsc_1,abs2_tsc_2,abs2_tsc_3,abs2_tru_exp_1,abs2_tru_exp_2,abs2_tru_exp_3,abs2_tru_exp_4,abs2_tru_exp_5,abs2_tru_exp_6,abs2_tru_int_1,abs2_tru_int_2,abs2_tru_int_3,abs2_tru_int_4,abs2_tru_ben_1,abs2_tru_ben_2,abs2_tru_ben_3,abs2_tru_ben_4,abs2_tch_1,abs2_tch_2,abs2_tch_3,abs2_tch_4,abs2_tch_5,tsm_1,tsm_2,tsm_3,country,country_oth
VVSMVY3V5qVfSAdr_QeGDQXYBUddPkY2ebznxNvcSdQeouJyEvrJDRsPo5MTIOWR,2020-12-18 11:05:28,2020-12-18 11:12:49,2020-12-18 11:12:50,NA,gb,gb,cb,moral,2,4,4,3,2,3,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,2,3,1,2,3,2,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3,1,NA
u5zfpBrg15BKWNhMJF-rfZzLLrU1HmDPWL9YpRMSO7y6ChwUvwkWZfeuFFxsjbCQ,2020-12-18 11:09:12,2020-12-18 11:14:26,2020-12-18 11:14:27,NA,gb,gb,cc,robot,4,4,4,4,4,1,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,1,1,2,3,3,3,3,3,1,1,7,7,7,7,6,6,7,7,7,7,7,6,6,6,3,2,1,2,3,2,2,2,1,NA
2UuezPSEhxjqZcDixmuAE0GD1pUkdWSjiai_EnPIfnjbHhcqHItHXq_BLUYoBD-b,2020-12-18 11:25:00,2020-12-18 11:36:57,2020-12-18 11:36:57,NA,cc,cc,gb,robot,3,3,2,3,3,3,3,2,2,2,2,4,4,2,2,2,2,2,2,4,2,-999,-999,-999,3,-999,2,3,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,-999,-999,-999,-999,-999,2,3,2,1,NA
DjcM7CwqH9s7o7aoKQAn7LKtFaclMB_ey3Pc2609ph-VYi3BNO0DhhS_6gyPKoWo,2020-12-18 11:29:58,2020-12-18 11:37:15,2020-12-18 11:37:15,NA,cb,cb,cc,robot,3,3,1,3,2,2,3,3,2,3,3,3,3,3,2,2,2,3,3,3,2,-999,-999,-999,3,-999,2,3,2,3,3,2,3,3,2,2,2,2,3,2,2,2,2,2,2,2,2,-999,-999,-999,3,-999,2,3,2,1,NA
b-x6XdomJ7yZY25aGqsq3ViXS4W4DMcVBlO9VddUC_pQP8ymMW4DW_hXx285iNaP,2020-12-18 11:46:56,2020-12-18 11:53:22,2020-12-18 11:53:22,NA,cc,cc,gb,robot,3,2,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,-999,2,2,3,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,3,2,2,2,1,2,3,3,3,2,3,3,2,3,4,NA
8vf9vbz5BMLUEGo656TSO7VKU8l5UOSeC8kE2koeoupWHkQ9RsvRGYgskUCnhsur,2020-12-18 11:52:44,2020-12-18 11:59:25,2020-12-18 11:59:25,NA,cb,cb,cc,moral,3,3,4,3,2,2,2,2,1,1,1,1,1,1,1,2,3,3,2,3,3,4,4,4,4,4,1,4,2,4,3,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,4,4,2,1,NA
6Au2u1_kfGnMnfvK7f5aiKx1ZYMH1QHM--s3kT1lYODvsnM6KueF4DQvSDA7dsPO,2020-12-18 12:09:56,2020-12-18 12:20:42,2020-12-18 12:20:43,NA,cc,cc,cb,moral,2,1,2,1,2,3,3,1,1,1,1,1,2,2,2,2,2,1,3,2,2,3,3,-999,4,3,2,2,2,3,2,2,3,3,1,2,2,2,2,3,3,2,2,3,3,2,3,2,4,4,2,4,3,3,3,1,NA
ATICLi0955pY-2YktMwsVe5HzjuV3tJGyyoStS3JMxCGS6S7jLlx2co0-_LIV_ib,2020-12-18 12:10:42,2020-12-18 12:13:18,2020-12-18 12:13:18,NA,cb,cb,cc,moral,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,3,3,3,1,NA
NzTdFXAWL7s0dHZvH80yWNW1QsrUwMPNlERqO_h2U3f_spFDoj3St70uivKulE1G,2020-12-18 12:42:32,2020-12-18 12:59:28,2020-12-18 12:59:28,NA,cb,cb,cc,moral,1,2,1,3,4,1,4,3,2,3,2,3,4,2,2,2,2,1,1,2,2,-999,3,3,-999,3,2,2,3,4,2,3,3,6,2,3,3,4,4,3,2,7,6,5,7,6,2,-999,-999,-999,-999,-999,2,4,3,1,NA
quAMO71YWNI0fatf5-RxyrUisvi_i_HHjmlpedVnWkgAB9G9INKLvXSIfewSADeb,2020-12-18 15:12:40,2020-12-18 15:14:10,2020-12-18 15:14:10,NA,cb,cb,gb,moral,3,1,2,1,4,2,3,3,2,4,5,4,4,2,2,2,5,2,3,1,3,4,3,3,4,4,3,2,3,4,3,2,4,3,4,2,3,4,4,3,4,1,2,3,2,4,2,3,2,3,2,4,4,4,4,1,NA
