true_hyp,study_iteration,numerator,denominator,BF,N
"nonosp,nonvis,visosp",1,nonosp<nonvis=visosp,nonosp<nonvis<visosp,48.05073784085302,250
"nonosp,nonvis,visosp",1,nonosp=nonvis=visosp,nonosp<nonvis=visosp,66.58473662624854,250
"nonosp,nonvis,visosp",1,nonosp<nonvis<visosp,nonosp<nonvis=visosp,0.020811334954149118,250
nonosp=nonvis=visosp,2,nonosp=nonvis=visosp,Hc,17.559619497117083,250
nonosp=nonvis=visosp,2,nonosp<nonvis<visosp,Hc,2.544434712305384,250
nonosp=nonvis=visosp,2,nonosp<nonvis=visosp,Hc,3.085443508739879,250
nonosp=nonvis=visosp,2,nonosp<nonvis<visosp,nonosp=nonvis=visosp,0.11330025726547499,250
nonosp=nonvis=visosp,2,nonosp<nonvis=visosp,nonosp=nonvis=visosp,0.17571243552552168,250
nonosp=nonvis=visosp,2,nonosp=nonvis=visosp,nonosp<nonvis<visosp,8.826105289919068,250
nonosp=nonvis=visosp,2,nonosp<nonvis=visosp,nonosp<nonvis<visosp,1.55085645669637,250
nonosp=nonvis=visosp,2,nonosp=nonvis=visosp,nonosp<nonvis=visosp,5.6911168353520045,250
nonosp=nonvis=visosp,2,nonosp<nonvis<visosp,nonosp<nonvis=visosp,0.6448050015732579,250
nonosp<nonvis<visosp,2,nonosp=nonvis=visosp,Hc,1.8717360407397805e-6,250
nonosp<nonvis<visosp,2,nonosp<nonvis<visosp,Hc,317.46756214857425,250
nonosp<nonvis<visosp,2,nonosp<nonvis=visosp,Hc,0.015048491220486364,250
nonosp<nonvis<visosp,2,nonosp<nonvis<visosp,nonosp=nonvis=visosp,3103671.113694583,250
nonosp<nonvis<visosp,2,nonosp<nonvis=visosp,nonosp=nonvis=visosp,8039.85759366937,250
nonosp<nonvis<visosp,2,nonosp=nonvis=visosp,nonosp<nonvis<visosp,3.2219908726398807e-7,250
nonosp<nonvis<visosp,2,nonosp<nonvis=visosp,nonosp<nonvis<visosp,0.0025904347784127145,250
nonosp<nonvis<visosp,2,nonosp=nonvis=visosp,nonosp<nonvis=visosp,1.2438031250546101e-4,250
nonosp<nonvis<visosp,2,nonosp<nonvis<visosp,nonosp<nonvis=visosp,386.0355830355045,250
nonosp<nonvis=visosp,2,nonosp=nonvis=visosp,Hc,3.5908372194568096e-5,250
nonosp<nonvis=visosp,2,nonosp<nonvis<visosp,Hc,20.387258289842542,250
nonosp<nonvis=visosp,2,nonosp<nonvis=visosp,Hc,12.001798757644952,250
nonosp<nonvis=visosp,2,nonosp<nonvis<visosp,nonosp=nonvis=visosp,120277.77927037461,250
nonosp<nonvis=visosp,2,nonosp<nonvis=visosp,nonosp=nonvis=visosp,334233.99681315763,250
nonosp<nonvis=visosp,2,nonosp=nonvis=visosp,nonosp<nonvis<visosp,8.314087656640898e-6,250
nonosp<nonvis=visosp,2,nonosp<nonvis=visosp,nonosp<nonvis<visosp,2.778850747334027,250
nonosp<nonvis=visosp,2,nonosp=nonvis=visosp,nonosp<nonvis=visosp,2.99191587191837e-6,250
nonosp<nonvis=visosp,2,nonosp<nonvis<visosp,nonosp<nonvis=visosp,0.35986099683812806,250
"nonosp,nonvis,visosp",2,nonosp=nonvis=visosp,Hc,6.430958131781493e-8,250
"nonosp,nonvis,visosp",2,nonosp<nonvis<visosp,Hc,1.5595415040984414e-11,250
"nonosp,nonvis,visosp",2,nonosp<nonvis=visosp,Hc,1.0455775810664472e-09,250
"nonosp,nonvis,visosp",2,nonosp<nonvis<visosp,nonosp=nonvis=visosp,3.0191021318821357e-4,250
"nonosp,nonvis,visosp",2,nonosp<nonvis=visosp,nonosp=nonvis=visosp,0.01625850393737213,250
"nonosp,nonvis,visosp",2,nonosp=nonvis=visosp,nonosp<nonvis<visosp,3312.2430322573778,250
"nonosp,nonvis,visosp",2,nonosp<nonvis=visosp,nonosp<nonvis<visosp,53.85211638148998,250
"nonosp,nonvis,visosp",2,nonosp=nonvis=visosp,nonosp<nonvis=visosp,61.50627412288405,250
"nonosp,nonvis,visosp",2,nonosp<nonvis<visosp,nonosp<nonvis=visosp,0.018569372332852628,250
nonosp=nonvis=visosp,3,nonosp=nonvis=visosp,Hc,32.15995888597486,250
nonosp=nonvis=visosp,3,nonosp<nonvis<visosp,Hc,0.2531427763007396,250
nonosp=nonvis=visosp,3,nonosp<nonvis=visosp,Hc,5.00116841888883,250
nonosp=nonvis=visosp,3,nonosp<nonvis<visosp,nonosp=nonvis=visosp,0.009096562923365022,250
nonosp=nonvis=visosp,3,nonosp<nonvis=visosp,nonosp=nonvis=visosp,0.1555091670552436,250
nonosp=nonvis=visosp,3,nonosp=nonvis=visosp,nonosp<nonvis<visosp,109.93163114734742,250
nonosp=nonvis=visosp,3,nonosp<nonvis=visosp,nonosp<nonvis<visosp,17.09537639274827,250
nonosp=nonvis=visosp,3,nonosp=nonvis=visosp,nonosp<nonvis=visosp,6.430489076214759,250
