session;created;modified;ended;expired;treat;variable;value;treat_nr
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_int_2;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_int_3;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_int_4;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_ben_1;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_ben_2;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_ben_3;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tru_ben_4;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tch_4;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tch_5;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tch_1;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tch_2;NA;1
8gccCdkDKApal4x9Ah0kq7kh9RA29-Af-CZsFSqofTMk5cwK2sax3vN2QINb38Lw;2019-11-04 07:18:13;NA;NA;NA;nonvis;tch_3;NA;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tsm_1;   3;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tsm_2;   3;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tsm_3;   3;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tsm_4;   3;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tsc_1;   2;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tsc_2;   3;1
BcE6tMk6BZKbgzA_aX44M7YhSZLdqgzbmev2C1khowLS2a8vrbHa1frwOWb0oC_X;2019-11-05 10:53:09;2019-11-05 10:57:32;2019-11-05 10:57:32;NA;nonosp;tsc_3;   2;1
